date, pm25, o3, no2, so2, co
2018/9/14, 18, 7, 3, , 
2018/9/15, 12, 6, 3, , 
2018/9/16, 17, 6, 2, , 
2018/9/17, 8, 5, 2, , 
2018/9/18, 9, 6, 5, , 
2018/9/19, 22, 11, 9, , 11
2018/9/20, 43, 10, 7, , 
2018/9/21, 26, 9, 4, , 
2018/9/22, 12, 8, 3, , 
2018/9/23, 9, 8, 3, , 
2018/9/24, 12, 7, 6, , 
2018/9/25, 29, 12, 7, , 11
2018/9/26, 25, 13, 5, , 
2018/9/27, 22, 10, 3, , 
2018/9/28, 18, 13, 8, , 11
2018/9/29, 26, 12, 6, , 
2018/9/30, 18, 10, 7, , 
2018/10/1, 18, 8, 6, , 
2018/4/2, 38, 18, 21, , 
2018/4/3, 60, 18, 17, 1, 
2018/4/4, 56, 20, 18, , 
2018/4/5, 54, 14, 9, , 
2018/4/6, 24, 14, 7, , 
2018/4/7, 22, 16, 14, , 11
2018/4/8, 33, 18, 7, , 11
2018/4/9, 34, 17, 13, , 
2018/4/10, 47, 25, 16, 1, 
2018/4/11, 67, 18, 7, , 
2018/4/12, 34, 19, 7, , 
2018/4/13, 23, 18, 11, , 11
2018/4/14, 40, 17, 5, , 
2018/4/15, 37, 18, 7, , 11
2018/4/16, 39, 20, 5, , 
2018/4/17, 41, 18, 6, , 
2018/4/18, 38, 17, 12, , 
2018/4/19, 46, 18, 5, , 
2018/4/20, 26, 16, 5, , 
2018/4/21, 41, 16, 5, , 
2018/4/22, 29, 17, 2, , 
2018/4/23, 23, 17, 6, , 
2018/4/24, 28, 19, 8, , 
2018/4/25, 32, 19, 8, , 
2018/4/26, 35, 21, 7, , 
2018/4/27, 38, 19, 6, , 11
2018/4/28, 23, 20, 4, , 
2018/4/29, 29, 15, 9, 3, 17
2018/4/30, 112, 18, 3, , 
2018/5/1, 19, 19, 5, , 
2018/5/2, 28, 19, 4, , 
2018/5/3, 30, 20, 4, , 
2018/5/4, 38, 20, 9, 1, 
2018/5/5, 40, 19, 6, , 
2018/5/6, 44, 21, 8, , 11
