date, pm25, o3, so2
2017/4/29, 15, , 
2017/4/30, 12, , 
2017/5/1, 11, , 1
2017/5/2, 10, , 1
2017/5/3, 12, , 1
2017/5/4, 24, , 4
2017/5/5, 19, , 
2017/5/6, 11, , 
2017/5/7, 11, , 1
2017/5/8, 10, , 1
2017/5/9, 14, , 1
2017/5/10, 19, , 1
2017/5/11, 34, , 2
2017/5/12, 40, , 8
2017/5/13, 21, , 1
2017/5/14, 44, , 
2017/5/15, 14, , 1
2017/5/16, 16, , 1
2017/5/17, 43, , 1
2017/5/18, 49, , 1
2017/5/19, 16, , 
2017/5/20, 10, , 
2017/5/21, 14, , 1
2017/5/22, 20, , 2
2017/5/23, 17, , 
2017/5/24, 21, , 
2017/5/27, 29, , 1
2017/5/28, 40, , 1
2017/5/29, 34, , 1
2017/5/30, 18, , 1
2017/5/31, 12, , 1
2017/6/1, 14, , 3
2017/6/2, 26, , 1
2017/6/3, 40, , 1
2017/6/4, 33, , 1
2017/6/5, 29, , 
2017/6/6, 21, , 
2017/6/7, 23, , 1
2017/6/8, 26, , 1
2017/6/9, 28, , 1
2017/6/10, 37, , 3
2017/6/11, 50, , 3
2017/6/12, 45, , 2
2017/6/13, 45, , 1
2017/6/14, 24, , 1
2017/6/15, 27, , 1
2017/6/16, 23, , 1
2017/6/17, 33, , 1
2017/6/18, 23, , 1
2017/6/19, 19, , 1
2017/6/20, 13, , 1
2017/6/21, 16, , 1
2017/6/22, 21, , 1
2017/6/23, 20, , 1
2017/6/24, 19, , 1
2017/6/25, 13, , 1
2017/6/26, 11, , 1
2017/6/27, 10, , 1
2017/6/28, 22, , 1
2017/6/29, 25, , 1
2017/6/30, 11, , 1
2017/7/1, 19, , 1
2017/1/3, 34, , 
2017/1/4, 33, , 
2017/1/5, 13, , 
2017/1/6, 16, , 
2017/1/7, 31, , 
2017/1/8, 35, , 5
2017/1/9, 19, , 1
2017/1/10, 43, , 
2017/1/11, 32, , 1
2017/1/12, 35, , 1
2017/1/13, 18, , 3
2017/1/14, 41, , 1
2017/1/15, 58, , 3
2017/1/16, 82, , 1
2017/1/17, 81, , 
2017/1/18, 38, , 
2017/1/19, 36, , 
2017/1/20, 65, , 
2017/1/21, 37, , 
2017/1/22, 36, , 
2017/1/23, 44, , 1
2017/1/24, 22, , 1
2017/1/25, 19, , 
2017/1/26, 11, , 
2017/1/27, 10, , 
2017/1/28, 14, , 
2017/1/29, 30, , 1
2017/1/30, 12, , 2
2017/1/31, 16, , 
2017/2/1, 28, , 
2017/2/2, 22, , 
2017/2/3, 24, , 
2017/2/4, 28, , 
2017/2/5, 23, , 2
2017/2/6, 33, , 1
2017/2/7, 27, , 
2017/2/8, 45, , 
2017/2/9, 12, , 1
2017/2/10, 25, , 1
2017/2/11, 38, , 1
2017/2/12, 63, , 
2017/2/14, 23, , 
2017/2/15, 16, , 1
2017/2/16, 14, , 
2017/2/17, 19, , 1
2017/2/18, 50, , 2
2017/2/19, 36, , 1
2017/2/20, 26, , 1
2017/2/21, 41, , 2
2017/2/22, 29, , 3
2017/2/23, 34, , 
2017/2/24, 24, , 
2017/2/25, 8, , 
2017/2/26, 24, , 1
2017/2/27, 24, , 
2017/2/28, 43, , 
2017/3/1, 45, , 
2017/3/2, 17, , 2
2017/3/3, 15, , 2
2017/3/4, 24, , 
2017/3/5, 37, , 
2017/3/6, 35, , 
2017/3/7, 40, , 1
2017/3/8, 24, , 2
2017/3/9, 17, , 1
2017/3/10, 15, , 2
2017/3/11, 14, , 1
2017/3/12, 16, , 1
2017/3/13, 19, , 
2017/3/14, 18, , 
2017/3/15, 17, , 1
2017/3/16, 20, , 4
2017/3/17, 41, , 
2017/3/18, 60, , 1
2017/3/19, 19, , 
2017/3/20, 27, , 1
2017/3/21, 44, , 1
2017/3/22, 22, , 
2017/3/23, 17, , 1
2017/3/24, 34, , 
2017/3/25, 50, , 
2017/3/26, 29, , 
2017/3/27, 13, , 
2017/3/28, 14, , 
2017/3/29, 26, , 
2017/3/30, 18, , 
2017/3/31, 14, , 
2017/4/1, 16, , 1
2016/10/2, 12, , 1
2016/10/3, 34, , 1
2016/10/4, 29, , 
2016/10/5, 28, , 1
2016/10/6, 46, , 1
2016/10/7, 45, , 2
2016/10/8, 36, , 2
2016/10/12, 49, , 2
2016/10/13, 37, , 
2016/10/14, 30, , 1
2016/10/15, 29, , 
2016/10/16, 29, , 1
2016/10/17, 27, , 1
2016/10/18, 35, , 2
2016/10/19, 18, , 2
2016/10/20, 25, , 1
2016/10/21, 9, , 1
2016/10/22, 16, , 1
2016/10/23, 33, , 1
2016/10/24, 37, , 1
2016/10/25, 17, , 1
2016/10/26, 15, , 
2016/10/27, 6, , 
2016/10/28, 9, , 1
2016/10/29, 35, , 1
2016/10/30, 29, , 1
2016/10/31, 15, , 
2016/11/1, 15, , 1
2016/11/2, 37, , 
2016/11/3, 15, , 
2016/11/4, 28, , 1
2016/11/5, 28, , 3
2016/11/6, 58, , 
2016/11/7, 57, , 4
2016/11/8, 42, , 1
2016/11/9, 28, , 1
2016/11/10, 17, , 2
2016/11/11, 15, , 
2016/11/12, 25, , 2
2016/11/13, 31, , 2
2016/11/14, 23, , 4
2016/11/15, 32, , 
2016/11/16, 29, , 1
2016/11/17, 41, , 
2016/11/18, 67, , 1
2016/11/19, 47, , 1
2016/11/20, 8, , 1
2016/11/21, 13, , 1
2016/11/22, 26, , 1
2016/11/23, 27, , 
2016/11/24, 28, , 
2016/11/25, 21, , 
2016/11/26, 20, , 
2016/11/27, 28, , 
2016/11/28, 59, , 
2016/11/29, 27, , 
2016/11/30, 24, , 1
